[INFO] | 2024-11-10 07:41:16 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Analysis started at: 2024-11-10 07:41:16 AM
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:41:25 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | solc version: v0.4.24
[INFO] | 2024-11-10 07:41:32 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:32 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:32 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Range graph generated
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Generating return summary for constructor
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Return summary generated for constructor
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Range graph generated
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Processed function constructor
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Generating return summary for getCurrentRoundInfo
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Return summary generated for getCurrentRoundInfo
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Processed function getCurrentRoundInfo
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Generating return summary for receivePlayerInfo
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Return summary generated for receivePlayerInfo
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Range graph generated
[INFO] | 2024-11-10 07:41:34 AM | analyzer.0x1a050d77003caee532df18d04d86b99ca15bf9e8 | Processed function receivePlayerInfo
