[INFO] | 2024-11-10 07:38:26 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Analysis started at: 2024-11-10 07:38:26 AM
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Version constraints: ['0.5.17']
[INFO] | 2024-11-10 07:38:32 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | solc version: v0.5.17
[INFO] | 2024-11-10 07:38:37 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:37 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:37 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:38 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:38:38 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:38 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:38 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:38 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:38 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Range graph generated
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Generating return summary for swapExactTokensForETH
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Return summary generated for swapExactTokensForETH
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Processed function swapExactTokensForETH
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Generating return summary for swapExactETHForTokens
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Return summary generated for swapExactETHForTokens
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Processed function swapExactETHForTokens
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Generating return summary for getAmountsOut
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Return summary generated for getAmountsOut
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Processed function getAmountsOut
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Processed function totalSupply
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Processed function balanceOf
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0x1ba35631c69a1363769d2b3e4a9d5c7020b3e520 | State variable assignement do not exist
