[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Analysis started at: 2024-11-10 07:39:33 AM
[INFO] | 2024-11-10 07:39:34 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Version constraints: ['^0.5.0']
[INFO] | 2024-11-10 07:39:34 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | solc version: v0.5.0
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function totalSupply
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function balanceOf
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for transfer
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for transfer
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function transfer
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for allowance
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for allowance
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function allowance
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for approve
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for approve
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function approve
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function transferFrom
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for constructor
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for constructor
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Range graph generated
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function constructor
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for totalLockedTokens
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for totalLockedTokens
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function totalLockedTokens
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for getNextRound
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for getNextRound
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function getNextRound
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for _getNextRoundTime
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for _getNextRoundTime
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function _getNextRoundTime
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Range graph generated
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for getContractBalance
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for getContractBalance
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Processed function getContractBalance
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Generating return summary for _getNextRoundUnlock
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | Return summary generated for _getNextRoundUnlock
[INFO] | 2024-11-10 07:39:35 AM | analyzer.0x57acbe7bf11b8a4584403cc900e230a18a7ab138 | State variable assignement do not exist
