[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Analysis started at: 2024-11-10 07:38:11 AM
[INFO] | 2024-11-10 07:38:15 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:38:15 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | solc version: v0.4.18
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Range graph generated
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Generating return summary for mul
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Return summary generated for mul
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Processed function mul
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Generating return summary for div
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Return summary generated for div
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Processed function div
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Generating return summary for sub
[INFO] | 2024-11-10 07:38:19 AM | analyzer.0x94554c78bd90dc7047f1a400dd3c5730991d9484 | Return summary generated for sub
