[INFO] | 2024-11-10 07:38:58 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | Analysis started at: 2024-11-10 07:38:58 AM
[INFO] | 2024-11-10 07:39:01 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:39:01 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | solc version: v0.4.18
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | Range graph generated
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:03 AM | analyzer.0xe85083dec29ca5287a00a29f667a8c5489cdf297 | Generating return summary for mul
