[INFO] | 2024-11-10 07:43:24 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Analysis started at: 2024-11-10 07:43:24 AM
[INFO] | 2024-11-10 07:43:25 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:43:25 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | solc version: v0.4.18
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Callgraph generation started!
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Callgraph generation finished!
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Value Range Analysis started
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Generating return summary for add
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Return summary generated for add
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Processed function add
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Generating return summary for sub
[WARNING] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | No lvalue eligible assignment, is this some bug!
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Return summary generated for sub
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Processed function sub
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Generating return summary for mul
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Return summary generated for mul
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | State variable assignement do not exist
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Processed function mul
[INFO] | 2024-11-10 07:43:26 AM | analyzer.0xf8a617d786dcb28f5d00f7e81b9f92b0cad617df | Generating return summary for div
