Smart Contract,Function Name,RENT,UE,is_student,Comments
0x000000000000541e251335090ac5b47176af4f7e,dexBlue.spendGasTokens,1,1,1,REENT -- Multi call bug---------- No REENT: no ether involved
0x000000000000541e251335090ac5b47176af4f7e,dexBlueSettlementModule.matchOrderWithReserve,1,,0,REENT -- balances[order.sellToken][order.signee]
0x000000000000541e251335090ac5b47176af4f7e,dexBlueSettlementModule.matchOrderWithReserveWithData,1,,0,REENT -- balances[order.sellToken][order.signee]
0x000000000000541e251335090ac5b47176af4f7e,dexBlueSettlementModule.settleRingTrade,1,,0,REENT -- balances[trades[i].giveToken][reserve]
0x000000000000541e251335090ac5b47176af4f7e,dexBlueSettlementModule.settleRingTradeWithData,1,,0,REENT -- balances[trades[i].giveToken][reserve]
0x000000000000541e251335090ac5b47176af4f7e,dexBlueSettlementModule.swapWithReserve,0,,0,
0x0000000000b3f879cb30fe243b4dfee438691c04,GasToken2.destroyChildren,1,,0,REENT -- Multi call bug
0x00195777bed7025e78819156281192c85fb3cf9b,GAME.startRaffle,1,0,1,---------- REENT -- state var jackpot
0x0030f75e27f6df16383f47ae11ae34abc21f5f2c,TYRANT.internalTransfer,1,,0,
0x0043a4a809be33afa17c1e3e37e19977622e4700,WithdrawableV2._withdrawAllSurcharges,1,0,1,--------
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain._mintFarmTokenAmount,1,,0,
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain._removeLiquidity,1,,0,"REENT -- _safeTransfer(setupInfo.liquidityPoolTokenAddress, exitFeeWallet, fee);"
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain._toggleSetup,1,0,1,"REENT -- require(block.number > _setupsInfo[setup.infoIndex].startBlock, ""Too early for this setup"");--------"
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.addLiquidity,0,,0,No REENT --- no ext call
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.openPosition,1,0,1,--------
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.unlock,1,,0,
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.withdrawLiquidity,1,,0,"REENT -- withdrawReward, delete setups[]"
0x00898f652934eff850886289a94d41cf9457e7af,FarmMain.withdrawReward,1,0,1,REENT -- delete _positions[positionId];--------
0x009f3de1e8878cda9c2e94a6ce6084d9ca86425c,WalletLibrary.confirm,0,0,1,no REENT -- onlymanyowners modifier---------- No REENT: modifier onlymanyowner
0x00b25822e3b8f8720b327f2df8e7c6f96271c8dc,JINJAINU.ContractTransfer,0,,0,no REENT -- ext call at the end
0x00b6358d1ac8d3731defd6b4d593b6ba04f9b8ea,EtherRolling.emergencyWithdraw,1,,0,
0x00b6358d1ac8d3731defd6b4d593b6ba04f9b8ea,EtherRolling.withdraw,1,0,1,--------
0x00dd5ad8f5d9c5118bceeb526c55ea6b2c07e922,Venify._transfer,0,,0,No REENT --- Sends ETH to a fixed address
0x00fe8ef58dc8282cac6e1d275acf0821c5084e88,Wallet.confirm,0,0,1,No REENT --- modifier onlymanywoners---------- No REENT : modifieronlymanyowners
0x01fd49a2042e962eb9b4f7fa1efaa8eac4cefeed,Finplether.doInvest,1,1,1,--------
0x02dd48ff449f57a4632c39068e0ca0f4325c3a8d,CB_BANK.Collect,1,0,1,---------- Reason for REENT: state var. acc.balance
0x0321be5f545ea569424aace4dc08d60f467229ac,BlackErc20.mintProof,1,,0,
0x03358425ada4620246dd703dc1f2246b8e148d22,BoomerangLiquidity.payout,1,1,1,--------UE: participants[payoutOrder].etherAddress.call.value(payoutToSend).gas(1000000)(); -- not checked -- REENT: payoutOrder
0x03fb31bb6def4dd3a7ea3b0fa6bdecc940e75795,BrokerV2.bid,1,,0,
0x03fb31bb6def4dd3a7ea3b0fa6bdecc940e75795,BrokerV2.buy,1,,0,
0x03fb31bb6def4dd3a7ea3b0fa6bdecc940e75795,BrokerV2.collect,1,,0,
0x03fb31bb6def4dd3a7ea3b0fa6bdecc940e75795,BrokerV2.withdrawERC20,0,1,1,No REENT because of onlyOwner--------
0x0453aa2dafff030614d9afef6c724ec2bee60876,SwifyStaking.closePosition,0,1,1,No REENT because of modifier non reentrant--------
0x0461c4e4b916bfc9449f853c7a854033b43c3a6c,Auction.start,0,1,1,No REENT because of modifier lock---------- UE: WRAPPED_ETH.deposit.value(balance)();
0x049658b3cc6ec345aaf2be7233a33da24ee82150,Bozu.internalTransfer,1,,0,
0x04d660832910ff492e940daff9ec7b3497e886ac,Revolution2.doInvest,1,1,1,--------
0x04f062809b244e37e7fdc21d9409469c989c2342,Joyso.migrateByAdmin_DQV,0,1,1,No REENT -- onlyAdmin--------
0x051bda85fbc58ace9d6060ba9488abe120ac072d,CRYPTOVATOR._transfer,0,,0,
0x0544ada225de796baa4030877314a96faacea7fc,ExclusiveDividendTracker._withdrawDividendOfUser,0,0,1,--------
0x0544ada225de796baa4030877314a96faacea7fc,ExclusiveDividendTracker.process,0,0,1,--------
0x058a144951e062fc14f310057d2fd9ef0cf5095b,HourglassX.reinvestPartial,0,,0,
0x05af72594440cf75c0fdcbbd9993fc26f62c7afc,TwelveHourAuction.buy,1,,0,REENT -- repay = ...g.keyLevel
0x06012c8cf97bead5deae237070f9587f8e7a266d,KittyBreeding.giveBirth,1,1,1,REENT -- mixGenes can reenter--------
0x0608d0d987ca8371af38fa0b6e028760110b987e,DeflatLottoBurn.fallback,1,0,1,---------- Reason for REENT: playerPool.length
