[INFO] | 2024-11-10 07:40:16 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Analysis started at: 2024-11-10 07:40:16 AM
[INFO] | 2024-11-10 07:40:18 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Version constraints: ['^0.4.7']
[INFO] | 2024-11-10 07:40:18 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | solc version: v0.4.7
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Callgraph generation started!
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Callgraph generation finished!
[INFO] | 2024-11-10 07:40:19 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Value Range Analysis started
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Generating return summary for multiowned
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Return summary generated for multiowned
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Range graph generated
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Processed function multiowned
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Generating return summary for revoke
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Return summary generated for revoke
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Processed function revoke
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Generating return summary for getOwner
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Return summary generated for getOwner
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Processed function getOwner
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Generating return summary for isOwner
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Return summary generated for isOwner
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Processed function isOwner
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Generating return summary for hasConfirmed
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Return summary generated for hasConfirmed
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Processed function hasConfirmed
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Generating return summary for confirmAndCheck
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Return summary generated for confirmAndCheck
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Range graph generated
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Processed function confirmAndCheck
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Generating return summary for reorganizeOwners
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Return summary generated for reorganizeOwners
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Range graph generated
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Processed function reorganizeOwners
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Generating return summary for clearPending
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Return summary generated for clearPending
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | State variable assignement do not exist
[INFO] | 2024-11-10 07:40:20 AM | analyzer.0x0c8f5a446e8df687dfa460d743cf3fc73a6b1676 | Processed function clearPending
