[INFO] | 2024-11-10 07:38:44 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | Analysis started at: 2024-11-10 07:38:44 AM
[INFO] | 2024-11-10 07:38:47 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | Version constraints: ['^0.4.15', '^0.4.15', '^0.4.15', '^0.4.18']
[INFO] | 2024-11-10 07:38:47 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | solc version: v0.4.18
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | Callgraph generation started!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | Value Range Analysis started
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | Processed function totalSupply
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0x0efef0b34638addc8833ba729ae20016b5f24ffc | Return summary generated for balanceOf
