[INFO] | 2024-11-10 07:39:25 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Analysis started at: 2024-11-10 07:39:25 AM
[INFO] | 2024-11-10 07:39:34 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:39:34 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | solc version: v0.4.24
[INFO] | 2024-11-10 07:39:41 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:41 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:41 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:43 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:43 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:44 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Range graph generated
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Generating return summary for constructor
[INFO] | 2024-11-10 07:39:45 AM | analyzer.0x125365069020439b830c9eac9dd402f8aa762569 | Return summary generated for constructor
