[INFO] | 2024-11-10 07:37:44 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Analysis started at: 2024-11-10 07:37:44 AM
[INFO] | 2024-11-10 07:37:44 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Version constraints: ['^0.4.17']
[INFO] | 2024-11-10 07:37:44 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | solc version: v0.4.17
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Generating return summary for owned
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Return summary generated for owned
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Range graph generated
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Processed function owned
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Generating return summary for owned
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Return summary generated for owned
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Range graph generated
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Processed function owned
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Generating return summary for init
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Return summary generated for init
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Range graph generated
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Processed function init
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Generating return summary for deposit
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Return summary generated for deposit
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Range graph generated
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Processed function deposit
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Generating return summary for onlyowner
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Return summary generated for onlyowner
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Processed function onlyowner
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Range graph generated
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Processed function fallback
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Processed function withdraw
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Generating return summary for kill
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Return summary generated for kill
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Processed function kill
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Value Range Analysis took 0.003297 seconds
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Dependency detection started!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Static Analysis took 1.137599 seconds
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Dependency does not exist
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Analysis finished!
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Analysis took 1.137881 seconds
[INFO] | 2024-11-10 07:37:45 AM | analyzer.0x52c2d09acf0ef12c487ae0c20a92d4f9a4abbfd1 | Analysis finished at: 2024-11-10 07:37:45 AM
