[INFO] | 2024-11-10 07:38:38 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Analysis started at: 2024-11-10 07:38:38 AM
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Version constraints: ['^0.4.23']
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | solc version: v0.4.23
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Generating return summary for fallback
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Return summary generated for fallback
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Range graph generated
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Processed function fallback
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Range graph generated
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Processed function withdraw
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Value Range Analysis took 0.001357 seconds
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Value Range Analysis finished
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Dependency detection started!
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | DAO dependency detected in file 0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol in contract keepMyEther in by composing functions withdraw and withdraw
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Dependency detection finished!
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Static Analysis took 0.905335 seconds
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Dependency exists
[INFO] | 2024-11-10 07:38:39 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Invoking symbolic executor!
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Symbolic execution took 1.766317 seconds
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Symbolic execution finished!
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Analysis finished!
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Analysis took 2.672401 seconds
[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7 | Analysis finished at: 2024-11-10 07:38:41 AM
