[INFO] | 2024-11-10 07:42:43 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Analysis started at: 2024-11-10 07:42:43 AM
[INFO] | 2024-11-10 07:42:43 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Version constraints: ['^0.4.16']
[INFO] | 2024-11-10 07:42:43 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | solc version: v0.4.16
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Callgraph generation started!
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Callgraph generation finished!
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Value Range Analysis started
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Generating return summary for makeOldFucks
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Return summary generated for makeOldFucks
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Processed function makeOldFucks
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Range graph generated
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Value Range Analysis took 0.000472 seconds
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Value Range Analysis finished
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Dependency detection started!
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Dependency detection finished!
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Static Analysis took 0.524090 seconds
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Dependency does not exist
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Analysis finished!
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Analysis took 0.524264 seconds
[INFO] | 2024-11-10 07:42:44 AM | analyzer.0xf2570186500a46986f3139f65afedc2afe4f445d | Analysis finished at: 2024-11-10 07:42:44 AM
