[INFO] | 2024-11-10 07:37:03 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Analysis started at: 2024-11-10 07:37:03 AM
[INFO] | 2024-11-10 07:37:13 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Version constraints: ['^0.4.23', '^0.4.23']
[INFO] | 2024-11-10 07:37:13 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | solc version: v0.4.23
[INFO] | 2024-11-10 07:37:44 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:44 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:44 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:49 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Range graph generated
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Range graph generated
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Range graph generated
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Range graph generated
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Generating return summary for max64
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Return summary generated for max64
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Processed function max64
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Generating return summary for min64
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Return summary generated for min64
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Processed function min64
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Generating return summary for max256
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Return summary generated for max256
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Processed function max256
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Generating return summary for min256
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Return summary generated for min256
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Processed function min256
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Generating return summary for mul
[INFO] | 2024-11-10 07:37:50 AM | analyzer.0x0224853bdff6b04ce259d87303b7523d4e16d656 | Return summary generated for mul
