[INFO] | 2024-11-10 07:38:06 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Analysis started at: 2024-11-10 07:38:06 AM
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Version constraints: ['^0.4.24']
[INFO] | 2024-11-10 07:38:09 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | solc version: v0.4.24
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for mul
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for mul
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function mul
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for div
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for div
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function div
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for sub
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for sub
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function sub
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for add
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for add
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function add
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for initUsers
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for initUsers
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Range graph generated
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function initUsers
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for GetIdByAddr
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for GetIdByAddr
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function GetIdByAddr
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for GetPlayerByUid
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for GetPlayerByUid
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Processed function GetPlayerByUid
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Generating return summary for GetPlanByUid
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | Return summary generated for GetPlanByUid
[INFO] | 2024-11-10 07:38:11 AM | analyzer.0x465cd6299775dc459a23c80997d2664656be9780 | State variable assignement do not exist
