[INFO] | 2024-11-10 07:37:21 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Analysis started at: 2024-11-10 07:37:21 AM
[INFO] | 2024-11-10 07:37:22 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:37:22 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | solc version: v0.4.21
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Issues with getting the high level call destination address
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Processed function totalSupply
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Generating return summary for allowance
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Return summary generated for allowance
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Processed function allowance
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Processed function transfer
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Generating return summary for approve
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Return summary generated for approve
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Processed function approve
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Processed function transferFrom
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Generating return summary for buy
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Return summary generated for buy
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Processed function buy
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Processed function withdraw
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Generating return summary for Owned
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Return summary generated for Owned
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Range graph generated
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Processed function Owned
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Generating return summary for acceptOwnership
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Return summary generated for acceptOwnership
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Range graph generated
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Processed function acceptOwnership
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x58ed44f46c279f30fd0a0724d3fed4bc18b11bb0 | State variable assignement do not exist
