[INFO] | 2024-11-10 07:41:49 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Analysis started at: 2024-11-10 07:41:49 AM
[INFO] | 2024-11-10 07:41:49 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Version constraints: ['^0.4.0']
[INFO] | 2024-11-10 07:41:49 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | solc version: v0.4.0
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for constructor
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for constructor
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Range graph generated
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function constructor
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function onlyOwner
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for constructor
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for constructor
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Range graph generated
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function constructor
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function totalSupply
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function balanceOf
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for transfer
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Return summary generated for transfer
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Processed function transfer
[INFO] | 2024-11-10 07:41:50 AM | analyzer.0xafb7ae966a9a7801beace4a7d5bbee91d860f616 | Generating return summary for allowance
