[INFO] | 2024-11-10 07:38:41 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Analysis started at: 2024-11-10 07:38:41 AM
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Version constraints: ['^0.4.17']
[INFO] | 2024-11-10 07:38:42 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | solc version: v0.4.17
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for mul
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for mul
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function mul
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for div
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for div
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function div
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for sub
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for sub
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function sub
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for add
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for add
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function add
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Range graph generated
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for mul
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for mul
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function mul
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Generating return summary for div
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Return summary generated for div
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:43 AM | analyzer.0xc4529ea3f838a7e27a673a87bfe844a5b8b1e4e2 | Processed function div
