[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Analysis started at: 2024-11-10 07:37:38 AM
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Version constraints: ['0.5.10']
[INFO] | 2024-11-10 07:37:38 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | solc version: v0.5.10
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Range graph generated
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Processed function constructor
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Generating return summary for forward
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Return summary generated for forward
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Processed function forward
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Processed function fallback
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Generating return summary for onlyImplementation
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Return summary generated for onlyImplementation
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Processed function onlyImplementation
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Generating return summary for drain
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Return summary generated for drain
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Processed function drain
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Value Range Analysis took 0.001411 seconds
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Value Range Analysis finished
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Storage dependency graph compostion started!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Storage dependency graph compostion finished!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Dependency detection started!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Dependency detection finished!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Static Analysis took 1.100773 seconds
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Dependency does not exist
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Symbolic execution is not needed!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Analysis finished!
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Analysis took 1.100972 seconds
[INFO] | 2024-11-10 07:37:39 AM | analyzer.0xe2a88ab6dc9da8e017c0a529d731558adc4183d5 | Analysis finished at: 2024-11-10 07:37:39 AM

real	0m3.061s
user	0m3.083s
sys	0m1.163s
