Smart Contract,Function Name,sailfish,slither,solhint,mythril,conkas,Actual Rent
bug_cases,collect_1,0,1,0,1,0,1
bug_cases,collect_12,1,0,0,1,0,1
bug_cases,collect_2,1,1,0,1,1,1
bug_cases,collect_21,0,1,0,1,0,1
bug_cases,collect_21_updated,1,1,0,1,0,1
bug_cases,collect_222,1,1,0,1,0,1
bug_cases,collect_23,1,1,0,1,1,1
bug_cases,collect_khichdi,1,0,0,1,1,1
bug_cases,analyze,1,1,0,1,1,1
bug_cases,call_within_if_dd,1,1,0,1,0,1
bug_cases,checkwrites_safe,1,1,0,1,1,0
bug_cases,checkwrites_unsafe_1,1,1,0,1,0,1
bug_cases,check_control_dep_safe,1,1,0,1,0,0
bug_cases,check_control_dep_unsafe,1,1,0,1,1,1
bug_cases,check_dd,1,1,0,1,0,1
bug_cases,check_dd_local,1,0,0,1,0,1
bug_cases,check_writes_af_call_node,1,0,0,1,1,1
bug_cases,check_writes_within_call_node,1,0,0,1,0,1
bug_cases,check_writes_within_call_node_require,1,0,0,0,1,1
bug_cases,dd_wac_1,1,1,0,1,0,1
bug_cases,for_case_1,1,1,0,0,0,0
bug_cases,for_case_2,1,1,0,0,0,1
bug_cases,indirect_control_dep_1,1,1,0,1,0,1
bug_cases,indirect_control_dep_ref,0,1,0,1,1,1
bug_cases,indirect_control_dep_ref2,0,1,0,1,0,1
bug_cases,require_wbc_1,1,0,0,0,0,1
bug_cases,require_wbc_2,1,0,0,1,0,1
bug_cases,require_wbc_3,1,0,0,0,0,1
bug_cases,require_wbc_4,1,0,0,0,1,1
bug_cases,slither_31,1,1,0,0,0,1
bug_cases,slither_dd,1,1,0,1,1,1
bug_cases,slither_dd_if,1,1,0,1,0,1
bug_cases,test_call,1,0,0,1,0,1
bug_cases,test_call2,1,1,0,1,0,1
dot-pdf,buggy_multi_call_if_2,1,1,0,1,1,1
dot-pdf,buggy_multi_call_if_3,1,1,0,1,0,1
dot-pdf,buggy_simple_require,1,0,0,1,1,1
dot-pdf,simple,1,1,0,1,1,1
onlyowner,withdraw_not_only_owner,N/A,1,0,1,N/A,1
require_auto_cases,buggy_require_wbc_1,1,0,0,1,1,1
require_auto_cases,buggy_require_wbc_2,1,0,0,1,1,1
require_auto_cases,buggy_require_wbc_3,1,0,0,1,0,1
require_auto_cases,buggy_require_wbc_4,1,0,0,0,0,1
require_auto_cases,buggy_require_wbc_5,1,1,0,0,1,1
require_auto_cases,non_buggy_require_wbc_1,1,0,0,1,0,0
require_auto_cases,slithermine_10,1,0,0,1,0,0
require_auto_cases,slithermine_11,1,0,0,1,0,0
require_auto_cases,slithermine_12,1,0,0,1,1,0
require_auto_cases,slithermine_14,1,0,0,1,0,0
require_auto_cases,slithermine_15,1,1,0,1,1,1
require_auto_cases,slithermine_16,1,1,0,1,0,1
require_auto_cases,slithermine_17,1,0,0,1,0,0
require_auto_cases,slithermine_18,1,1,0,1,0,1
require_auto_cases,slithermine_19,1,1,0,1,1,1
require_auto_cases,slithermine_20,1,0,0,1,0,0
require_auto_cases,slithermine_21,1,1,0,1,1,1
require_auto_cases,slithermine_22,1,1,0,1,0,1
require_auto_cases,slithermine_23,1,0,0,1,0,0
require_auto_cases,slithermine_24,1,1,0,1,1,1
require_auto_cases,slithermine_5,1,1,0,1,1,1
require_auto_cases,slithermine_6,1,0,0,1,0,0
require_auto_cases,slithermine_7,1,0,0,1,1,0
require_auto_cases,slithermine_8,1,0,0,1,0,0
require_auto_cases,slithermine_9,1,0,0,1,1,0
require_manual_cases,collect_khichdaai,1,0,0,0,1,1
require_manual_cases,collect_khichdasai,1,0,0,1,0,1
require_manual_cases,bug_require_1,1,0,0,1,0,0
require_manual_cases,bug_require_22,1,0,0,0,0,1
require_manual_cases,bug_require_3,1,0,0,1,0,1
require_manual_cases,bug_require_4,1,1,0,1,0,1
require_manual_cases,bug_require_5,1,0,0,1,0,0
require_manual_cases,bug_require_6,1,0,0,1,0,0
require_manual_cases,bug_require_single_st,1,0,0,1,1,1
require_manual_cases,bug_require_test_2,1,0,0,0,0,0
require_manual_cases,buggy_indirect_dep_1,1,1,0,1,1,1
require_manual_cases,buggy_require_1,1,1,0,1,1,1
require_manual_cases,buggy_require_indirect_cd,1,0,0,1,0,1
require_manual_cases,buggy_require_wbc_1,1,0,0,1,1,1
require_manual_cases,buggy_require_wbc_2,1,1,0,1,0,1
require_manual_cases,buggy_wac_1,1,1,0,1,0,1
require_manual_cases,multi_call,1,1,0,0,1,1
require_manual_cases,non_buggy_1,1,1,0,1,0,0
require_manual_cases,non_buggy_require_1,1,1,0,0,1,0
require_manual_cases,non_buggy_require_2,1,0,0,1,1,0
require_manual_cases,non_buggy_require_3,1,1,0,0,0,0
require_manual_cases,non_buggy_require_4,1,0,0,1,0,0
require_manual_cases,non_buggy_require_5,1,0,0,1,0,0
require_manual_cases,non_buggy_require_6,1,0,0,0,0,0
