[INFO] | 2024-11-10 07:41:05 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Analysis started at: 2024-11-10 07:41:05 AM
[INFO] | 2024-11-10 07:41:07 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Version constraints: ['^0.4.0']
[INFO] | 2024-11-10 07:41:07 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | solc version: v0.4.0
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Generating return summary for EscrowGoods
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Return summary generated for EscrowGoods
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Range graph generated
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Processed function EscrowGoods
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Generating return summary for logDebug
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Return summary generated for logDebug
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Range graph generated
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Processed function logDebug
[INFO] | 2024-11-10 07:41:08 AM | analyzer.0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7 | Generating return summary for logEvent
