[INFO] | 2024-11-10 07:39:51 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Analysis started at: 2024-11-10 07:39:51 AM
[INFO] | 2024-11-10 07:39:53 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Version constraints: ['^0.4.18']
[INFO] | 2024-11-10 07:39:53 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | solc version: v0.4.18
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Value Range Analysis started
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Generating return summary for add
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Return summary generated for add
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Processed function add
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Generating return summary for sub
[WARNING] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | No lvalue eligible assignment, is this some bug!
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Return summary generated for sub
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Processed function sub
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Generating return summary for mul
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Return summary generated for mul
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Processed function mul
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Generating return summary for div
[WARNING] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | No lvalue eligible assignment, is this some bug!
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Return summary generated for div
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Processed function div
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Processed function totalSupply
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Processed function balanceOf
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Generating return summary for allowance
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Return summary generated for allowance
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | State variable assignement do not exist
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Processed function allowance
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Generating return summary for transfer
[INFO] | 2024-11-10 07:39:54 AM | analyzer.0x0f7f8ca2c9b617b4dabb1a16c3e2dc5d83faf907 | Return summary generated for transfer
