[INFO] | 2024-11-10 07:39:28 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | Analysis started at: 2024-11-10 07:39:28 AM
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | Version constraints: ['0.5.17']
[INFO] | 2024-11-10 07:39:33 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | solc version: v0.5.17
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | Callgraph generation started!
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:36 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:37 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | Storage dependency graph generation started!
[WARNING] | 2024-11-10 07:39:37 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:37 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:37 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:37 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:37 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:38 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | Issues with getting the high level call destination address
[WARNING] | 2024-11-10 07:39:38 AM | analyzer.0x1c3f78372a8c3e01970b85e1b26b885803011da3 | Issues with getting the high level call destination address
