[INFO] | 2024-11-10 07:37:20 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Analysis started at: 2024-11-10 07:37:20 AM
[INFO] | 2024-11-10 07:37:22 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Version constraints: ['^0.4.19']
[INFO] | 2024-11-10 07:37:22 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | solc version: v0.4.19
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Generating return summary for constructor
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Return summary generated for constructor
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Range graph generated
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Processed function constructor
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Generating return summary for getInfo
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Return summary generated for getInfo
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Processed function getInfo
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Generating return summary for _newPresserFee
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Return summary generated for _newPresserFee
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Processed function _newPresserFee
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Generating return summary for fallback
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Return summary generated for fallback
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Processed function fallback
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Range graph generated
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:37:23 AM | analyzer.0x380e0f015c0a830dc5d25e5f99570ad0be275350 | Generating return summary for announceWinner
