[INFO] | 2024-11-10 07:39:14 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Analysis started at: 2024-11-10 07:39:14 AM
[INFO] | 2024-11-10 07:39:15 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Version constraints: ['^0.5.0']
[INFO] | 2024-11-10 07:39:15 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | solc version: v0.5.0
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Callgraph generation started!
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Callgraph generation finished!
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Value Range Analysis started
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for constructor
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for constructor
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Range graph generated
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function constructor
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for _transferOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Return summary generated for _transferOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Range graph generated
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Processed function _transferOwnership
[INFO] | 2024-11-10 07:39:16 AM | analyzer.0x62f49e904af170ea377f399aca76c13ff25a6f5e | Generating return summary for onlyOwner
