[INFO] | 2024-11-10 07:37:57 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Analysis started at: 2024-11-10 07:37:57 AM
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Version constraints: ['^0.4.6']
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | solc version: v0.4.6
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Generating return summary for Conference
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Return summary generated for Conference
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Range graph generated
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Processed function Conference
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Generating return summary for buyTicket
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Return summary generated for buyTicket
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Range graph generated
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Processed function buyTicket
[INFO] | 2024-11-10 07:37:58 AM | analyzer.0x7fe180e63198e50057c3f2817d058e8904c650e3 | Generating return summary for changeQuota
