[INFO] | 2024-11-10 07:41:38 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Analysis started at: 2024-11-10 07:41:38 AM
[INFO] | 2024-11-10 07:41:39 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Version constraints: ['^0.4.15']
[INFO] | 2024-11-10 07:41:39 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | solc version: v0.4.15
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Callgraph generation started!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Callgraph generation finished!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Value Range Analysis started
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Generating return summary for issue
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Return summary generated for issue
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Processed function issue
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Processed function balanceOf
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Generating return summary for owner
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Return summary generated for owner
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Processed function owner
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Processed function balanceOf
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Generating return summary for ZTCrowdsale
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Return summary generated for ZTCrowdsale
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Range graph generated
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Processed function ZTCrowdsale
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Generating return summary for toZT
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Return summary generated for toZT
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | State variable assignement do not exist
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Processed function toZT
[INFO] | 2024-11-10 07:41:40 AM | analyzer.0xaf7aea249098f2c2f50cc11d4000ccf798194373 | Generating return summary for slitherConstructorVariables
