[INFO] | 2024-11-10 07:38:23 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Analysis started at: 2024-11-10 07:38:23 AM
[INFO] | 2024-11-10 07:38:23 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Version constraints: ['^0.4.11']
[INFO] | 2024-11-10 07:38:23 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | solc version: v0.4.11
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Processed function transfer
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Generating return summary for withdraw
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Return summary generated for withdraw
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Range graph generated
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Processed function withdraw
[INFO] | 2024-11-10 07:38:24 AM | analyzer.0xceffdb3f1aed635e94a0b565239d4353ae44c744 | Generating return summary for buy
