[INFO] | 2024-11-10 07:37:32 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Analysis started at: 2024-11-10 07:37:32 AM
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | solc version: v0.4.21
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Callgraph generation started!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Callgraph generation finished!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Value Range Analysis started
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Generating return summary for mul
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Return summary generated for mul
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Processed function mul
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Generating return summary for div
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Return summary generated for div
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Processed function div
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Generating return summary for sub
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Return summary generated for sub
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Processed function sub
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Generating return summary for add
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Return summary generated for add
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Processed function add
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Generating return summary for Ownable
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Return summary generated for Ownable
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Range graph generated
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Processed function Ownable
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Generating return summary for onlyOwner
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Return summary generated for onlyOwner
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Processed function onlyOwner
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Processed function totalSupply
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Processed function transfer
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Generating return summary for totalSupply
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Return summary generated for totalSupply
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Processed function totalSupply
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Processed function balanceOf
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Generating return summary for transfer
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Return summary generated for transfer
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Processed function transfer
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Generating return summary for allowance
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Return summary generated for allowance
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | State variable assignement do not exist
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Processed function allowance
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Generating return summary for transferFrom
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | Return summary generated for transferFrom
[INFO] | 2024-11-10 07:37:34 AM | analyzer.0xd89098a767a3fe39410d6fa7d72b6ebc5eaae247 | State variable assignement do not exist
