[INFO] | 2024-11-10 07:38:47 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Analysis started at: 2024-11-10 07:38:47 AM
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Version constraints: ['^0.4.13']
[INFO] | 2024-11-10 07:38:48 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | solc version: v0.4.13
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Callgraph generation started!
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Callgraph generation finished!
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Value Range Analysis started
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Generating return summary for transfer
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Return summary generated for transfer
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | State variable assignement do not exist
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Processed function transfer
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:38:49 AM | analyzer.0xe7e0bb725a6c1ed81b89042b1d37756b21db4958 | State variable assignement do not exist
