[INFO] | 2024-11-10 07:42:52 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Analysis started at: 2024-11-10 07:42:52 AM
[INFO] | 2024-11-10 07:42:53 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Version constraints: ['^0.4.21']
[INFO] | 2024-11-10 07:42:53 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | solc version: v0.4.21
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Callgraph generation started!
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Callgraph generation finished!
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Interprocedural CFG generation started!
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Interprocedural CFG generation finished!
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Storage dependency graph generation started!
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Storage dependency graph generation finished!
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Value Range Analysis started
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Range graph generated
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Range graph generated
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function slitherConstructorConstantVariables
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for transfer
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for transfer
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function transfer
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for balanceOf
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for balanceOf
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function balanceOf
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for decimals
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for decimals
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function decimals
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for GuardedBeercoinICO
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for GuardedBeercoinICO
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Range graph generated
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function GuardedBeercoinICO
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for slitherConstructorVariables
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for slitherConstructorVariables
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Range graph generated
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function slitherConstructorVariables
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for onlyGuardian
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for onlyGuardian
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | State variable assignement do not exist
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function onlyGuardian
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for GuardedBeercoinICO
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Return summary generated for GuardedBeercoinICO
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Range graph generated
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Processed function GuardedBeercoinICO
[INFO] | 2024-11-10 07:42:54 AM | analyzer.0xf2d54d17d3dc3810a0d62042a0b381df122ed162 | Generating return summary for slitherConstructorVariables
