Smart Contract,Vuln-Function,Exact-Function-In-Non-Vuln
0x9a156f934c3542ef6a4443ce9a91d2d768fc01c1.sol,executeProposal(uint256;bytes),07fcf82e36393d01fe19ebad7129d03b6cbf0568b622fdd64ac8d8f66fbe4dc8
0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol,withdraw(),0d4fab96a6b16debadded507d1507b25fd3375e10fa092579938a7d65719f3dd
0x05f49e3e0a27efa05d60c19cd8f0ecc951d3717e.sol,ReturnEthToEtherhero(),"0f5140806321d87d82ad0a35b930315f8b56afe99600318af2656d59c98591ad,0x83928d7a16e0cbdf77d555c405a3975d11dcf0fa-ReturnEthToEtherhero"
0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,CashOut(uint256),1de29190b9021c20cae54c9f5d4b56431c2185bb2e407eff3f1eff93c6f3a3c7
0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,CashOut(uint256),"22c3ee7362cd9369b7a49c86eb37e18d8c48d3b7200397778541c2a4f24a127f,0xbabfe0ae175b847543724c386700065137d30e3b-CashOut,0x463f235748bc7862deaa04d85b4b16ac8fafef39-CashOut"
0x039963c07e62eb7af39eeeb871cb2de9cbc65d78.sol,Collect(uint256),"2e1c1ce5f82ea98d04b3d8b4885f203f49cabcfcf569239a7ef99ee1737ab8cb,0x0529663bd4d73d3dd06f90247d8c2e802755b7ec-Collect,0xfd4b392ca5495459044b9eca9856cdab0a596b33-Collect,0xa7549927eac2004359cf03413a5b1357a812e22e-Collect,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3-Collect,0xd96053c281c1424eff97c5739c6a86d572519227-Collect,0x0d5d4c289133ebf3eb685c183a930c1ee2ea4a4f-Collect,0xcb6fe98097fe7d6e00415bb6623d5fc3effa4e83-Collect,0x2c4bcbbaddbf1561a34c90338cd13a8028b5000e-Collect,0x10452f898766f59a8514dc6856ff62bbdc6a0f51-Collect,0x0f73292862b5824909a77289eed9c7e3727fa6ae-Collect,0xb2eb463fd68ba808a7864b8f9f021383bf96b01a-Collect,0x79e784a77254aedbc6488ce0001abee487b1d88d-Collect,0x857a8d8aa8d83562f9118405335bd4a1fb523317-Collect,0xfbe2fff3145e08a21a9d9c8d5f20c01706939647-Collect,0x14db723a05620d3bbe4303f9e566eb2c782e70f0-Collect,0xab78561558d06ace60f206d9fcaac65bb1cfdee2-Collect,0x2386ba3872f6e947744790a6e5c9b2a14e4123a2-Collect,0x0ce20e33ff9fadcf43668fac351b97539e2ac58d-Collect,0x60de9d9b062595cf10bc3fbf9ed5a6104befe882-Collect,0x47e53dd4f108ea392dcc1ebd341e13ea75fbf93b-Collect,0xaf2725a637e4134587a7ff887c0bd6d20a49d739-Collect,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e-Collect,0x62500ad71aa50744bbd4917d1a64938897e952bf-Collect,0xe13e62970687ce1e85adcd8eeb8bb9f2a5d7b566-Collect,0xdfe6a14a9b970f9c5624df584ed55ff61712add9-Collect,0xc524639a1c9d2e5efbc1937ebf7255cf06d85ae2-Collect,0x094a5e6e395212bfc6c773b2210409eba4ca19d7-Collect,0x58efdf0980dc6818ca8ffb796e3d6a3c7dd5500b-Collect,0x58450bf83b92e5ca10dc0aadffa2a34fbce8ee1a-Collect,0x428395c7738c0206a7966719f6ce18c1aae41453-Collect,0x61a8bd67e7efafa01d97223a25a0ea81a91b91fb-Collect,0xe32d4b844e45150911d85613c93b33910ec615a5-Collect,0x3916c7c3f9e16014edef882d77c73e7836dc6e32-Collect,0xbaaf2d963af21aa176835df10fa5621374c8cb17-Collect,0xcef8897137700e63c0730c64a02a058f88e3cdf9-Collect,0x8b0331536c64f3e9cc3ad509ef4b0bb16df7eee1-Collect,0xdd71e35f680bb5adc77c6d1d9ef5793598e613dc-Collect,0x7f849ab778a2a7ad630f5aedcffee5cb6d0c92cd-Collect,0xb07a66f0615e922abb9c6eb56f40adf843e0e391-Collect,0xcdfe013bf5eba4627f7bf0d65499a2296d7d6ee4-Collect,0xebcb9bf5a615e6f00316a25c62f79333a0b49871-Collect,0x3d7e982e2b4980ba8aa87be18714a1fc1349ef77-Collect,0x2496e0f4648dac51ed0a7c121aa43a767d3b6653-Collect,0x83a3a9b3068911b55a3989df0e642f487d08e424-Collect,0xb69d64383103afe6871d659d15d51bb106d66dc1-Collect,0xa4e1cbf64c3b5db2a6e6f23cb5286b97d80b86e3-Collect,0x7541b76cb60f4c60af330c208b0623b7f54bf615-Collect,0xf015c35649c82f5467c9c74b7f28ee67665aad68-Collect,0x8897fc893570ce05db621f70d2d4a26d38ad57e9-Collect,0x774853153c3cc175a3606c58d6f27f6b57e72fd3-Collect,0x2b84aad550e5550eebc9bc76184b031adcecfb06-Collect,0x0ebfa01ca55f8ddc182f4ba657675ddaa91b4b93-Collect,0x4b23577c0672ab1e436097b7daceadb75e5721c6-Collect,0x40322751df290f012b1631341b4a5f413e2bbb6e-Collect,0xd379947b8a2f6c9232d518c85e9e5845bb8bb562-Collect,0xdf4b83a451ef20b925ce39f4da2a021722688370-Collect,0x463c74b95efef9c58a041edf3e06a610ea275108-Collect,0x6d9d10d1861973da96f6d526cfb4e0badbf61a3e-Collect,0x17145ce624b34102e615f3a28705fb0d14c111de-Collect,0x3276c0707c0fdac213cac54e5b805664aae403d9-Collect,0x400e115f1be2b646139c298272a43b2cff2b127e-Collect,0x9416d782aebd1078dffdf8890eff5379a52706f3-Collect,0xcd3e9a892326d5ecee77c1e2380d2ef20dab119f-Collect,0x2082a9dfbef18d0b4798845bc564930a5cc436e3-Collect"
0x3023868433f6086cd8ce0c4083fe2e11b37ce0b7.sol,guess(string),3d002be684a528f2ebe3aac67a68a8c437b55ff1d49e13ff75f12e3b74892c32
0x33813c2f2aab62ac88c234858a1f08448424828f.sol,claim(),43fb56dcde3a79e83fe32dab3ba670b1ff598bdccdc58cc128386cb729b05b0d
0x85179ac15aa94e3ca32dd1cc04664e9bb0062115.sol,Collect(uint256),4eb3173cc9a85d5a28f25c28361d620cd809162eaf6f894d50ea3a6d4b24aa20
0xf6a1fa796cfbdcc4adb08dbf634438fb35561d8d.sol,sell(IERC20;uint256),4fc6fc3572e46585bacb89d3b3ed8b8d6b4eeb569b4f10fe1dba23b2b740c3f1
0x4c67b3db1d4474c0ebb2db8bec4e345526d9e2fd.sol,sendCall(address;address;bytes),5256cc1f595ea1589d6976d1d3eff00ec0b550c8fef8f11e08b43ce238b8063c
0x2a98d8fc14b31b346ff6c56dc2a252c434f628f2.sol,withdraw(),59b887ae7f46dd42e5f89aa4b83c04dddc55899a8009727ac1e4e699add4ab38
0xf6dbe88ba55f1793ff0773c9b1275300f830914f.sol,withdraw(uint256),652912b18d3349967049b9ee966d8f18384354a36252774bc6d89227f33722fe
0xc213dc998b6c0d9c51f9cc72240596e1dd684ec7.sol,withdrawFunds(uint256),740951b0dcb8653e5cd781c7710d412d67052515fca03f3a0caf83966ca8889a
0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,Collect(uint256),"a165b4d8d4818411dad56f13f2e84b57f2283feb02952420f6d807e82251ded4,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1-Collect,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f-Collect,0xd518db222f37f9109db8e86e2789186c7e340f12-Collect"
0x0eb68f34efa0086e4136bca51fc4d0696580643e.sol,get(),b15131c18ec5d117f68753f6ec6bbe6b5d93b785b237065e74de64bdb117c774
0x79ad73567e7f9a5b4a2d28264f78aff9d971cf14.sol,send(address;uint256;uint256;address),c8f6f40fe65aefb6f2f99426c65be4d2c1ac9cc30c2dc9692c952c2913ddbd6c
0x7c4393ee129d7856b5bd765c2d20b66f464ccd0f.sol,retry(address),"cff0076aa47399bfcbbe65de1c603e26b5d0d88217dcc5f5fe0c4d08ece04404,0x45f0f40297df736fe33efbf703d6ff287cb29cf7-retry"
0xe610af01f92f19679327715b426c35849c47c657.sol,Collect(uint256),e97164665c9970b1a10b0b9283d7df26b96ba8b79947d4071dfa062dfb398be8
0x8c7777c45481dba411450c228cb692ac3d550344.sol,CashOut(uint256),f97d23b427b88b62471a56de8444add087835f909b8d701df71e338a2d36e849
